team,country_code,rank,points,previous_rank
Spain,ESP,1,1995.881879,2
Argentina,ARG,2,1970.36539,1
France,FRA,3,1948.970817,3
England,ENG,4,1922.831632,4
Brazil,BRA,5,1804.923169,6
Morocco,MAR,6,1803.987631,7
Portugal,PRT,7,1787.854725,5
Belgium,BEL,8,1778.355242,9
Netherlands,NLD,9,1775.54224,8
Mexico,MEX,10,1754.296853,14
Colombia,COL,11,1739.894762,13
Germany,DEU,12,1726.218839,10
Croatia,HRV,13,1723.050142,11
Switzerland,CHE,14,1710.884769,19
Italy,ITA,15,1704.733836,12
USA,USA,16,1690.330436,17
Japan,JPN,17,1673.67653,18
Senegal,SEN,18,1653.42859,15
Norway,NOR,19,1651.286867,31
Uruguay,URY,20,1634.703834,16
Denmark,DNK,21,1619.474248,21
Iran,IRN,22,1609.845145,20
Austria,AUT,23,1598.822839,24
Egypt,EGY,24,1597.044332,29
Ecuador,ECU,25,1592.588692,23
Nigeria,NGA,26,1585.017102,26
Türkiye,TUR,27,1582.54473,22
Australia,AUS,28,1581.5092,27
Algeria,DZA,29,1576.802787,28
Canada,CAN,30,1571.34137,30
Côte d'Ivoire,CIV,31,1565.474493,33
South Korea,KOR,32,1558.719499,25
Ukraine,UKR,33,1549.287173,32
Paraguay,PRY,34,1542.476023,41
Russia,RUS,35,1529.602834,35
Poland,POL,36,1526.183359,36
Sweden,SWE,37,1525.578992,38
Wales,WAL,38,1516.946629,37
Hungary,HUN,39,1506.393663,39
Serbia,SRB,40,1502.133186,43
DR Congo,COD,41,1495.476517,46
Scotland,SCO,42,1491.223887,42
Cameroon,CMR,43,1481.235245,44
Panama,PAN,44,1478.411496,34
Slovakia,SVK,45,1473.660727,47
Greece,GRC,46,1473.187305,48
Venezuela,VEN,47,1469.177672,49
Czechia,CZE,48,1467.260216,40
Chile,CHL,49,1458.196344,51
Peru,PER,50,1457.692964,52
Costa Rica,CRI,51,1456.029055,53
Romania,ROU,52,1455.894657,54
Mali,MLI,53,1455.586659,55
South Africa,ZAF,54,1451.241881,60
Ireland,IRL,55,1441.096901,58
Slovenia,SVN,56,1441.087158,59
Tunisia,TUN,57,1426.583954,45
Saudi Arabia,SAU,58,1425.515277,61
Qatar,QAT,59,1411.063729,56
Uzbekistan,UZB,60,1409.729608,50
Bosnia & Herzegovina,BIH,61,1408.930486,64
Burkina Faso,BFA,62,1406.990543,62
Iraq,IRQ,63,1404.172801,57
Cabo Verde,CPV,64,1402.966144,67
Ghana,GHA,65,1387.000731,73
Honduras,HND,66,1378.970301,65
Albania,ALB,67,1376.033234,66
United Arab Emirates,ARE,68,1370.469434,68
North Macedonia,MKD,69,1369.159317,69
Northern Ireland,NIR,70,1365.296485,70
Jamaica,JAM,71,1357.840144,71
Georgia,GEO,72,1355.261687,72
Jordan,JOR,73,1350.411893,63
Iceland,ISL,74,1342.771961,74
Finland,FIN,75,1341.922408,75
Israel,ISR,76,1333.904007,76
Bolivia,BOL,77,1325.995377,77
Kosovo,XKX,78,1319.120924,78
Oman,OMN,79,1306.901717,79
Montenegro,MNE,80,1301.977191,80
Guinea,GIN,81,1295.598845,81
Curaçao,CUW,82,1285.644403,82
Syria,SYR,83,1283.051902,84
Gabon,GAB,84,1272.508139,86
Bulgaria,BGR,85,1271.683325,87
New Zealand,NZL,86,1269.801509,85
Angola,AGO,87,1265.575056,88
Haiti,HTI,88,1264.578423,83
Uganda,UGA,89,1264.090591,89
Zambia,ZMB,90,1255.821846,90
China,CHN,91,1254.8091,91
Bahrain,BHR,92,1254.406799,92
Benin,BEN,93,1252.170944,93
Thailand,THA,94,1250.803064,94
Palestine,PSE,95,1243.713925,95
Belarus,BLR,96,1242.876029,96
Guatemala,GTM,97,1238.74375,97
Luxembourg,LUX,98,1232.81815,98
Vietnam,VNM,99,1227.203805,99
El Salvador,SLV,100,1225.344607,100
Tajikistan,TJK,101,1224.190098,101
Trinidad and Tobago,TTO,102,1219.58613,102
Mozambique,MOZ,103,1218.616571,103
Madagascar,MDG,104,1202.689766,104
Equatorial Guinea,GNQ,105,1195.197081,105
Kyrgyzstan,KGZ,106,1192.157969,106
Armenia,ARM,107,1189.632762,107
Comoros,COM,108,1187.9109,108
Kenya,KEN,109,1185.076631,109
Libya,LBY,110,1182.081264,110
Kazakhstan,KAZ,111,1180.780449,111
Tanzania,TZA,112,1180.267847,112
Mauritania,MRT,113,1176.680994,113
Niger,NER,114,1175.332063,114
Lebanon,LBN,115,1172.215162,115
Gambia,GMB,116,1159.637808,116
Sudan,SDN,117,1157.223901,117
Indonesia,IDN,118,1157.142651,118
Togo,TGO,119,1152.757527,119
North Korea,PRK,120,1151.052136,120
Namibia,NAM,121,1148.839695,121
Sierra Leone,SLE,122,1147.560535,122
Faroe Islands,FRO,123,1136.585036,123
Cyprus,CYP,124,1133.247165,124
Suriname,SUR,125,1132.425895,125
Azerbaijan,AZE,126,1131.995112,126
Estonia,EST,127,1130.63629,127
Rwanda,RWA,128,1126.622275,128
Malawi,MWI,129,1122.053591,129
Zimbabwe,ZWE,130,1119.77695,130
Nicaragua,NIC,131,1114.634184,131
Guinea-Bissau,GNB,132,1108.381553,132
Kuwait,KWT,133,1106.474587,133
Congo Republic,COG,134,1105.964661,134
Philippines,PHL,135,1100.949959,135
Malaysia,MYS,136,1086.218087,136
Latvia,LVA,137,1085.660758,137
India,IND,138,1084.930775,138
Central African Republic,CAF,139,1080.824745,139
Liberia,LBR,140,1080.435325,140
Turkmenistan,TKM,141,1078.652346,141
Burundi,BDI,142,1078.009468,142
Ethiopia,ETH,143,1077.520799,143
Dominican Republic,DOM,144,1076.498501,144
Yemen,YEM,145,1065.236881,145
Lesotho,LSO,146,1064.285838,146
Botswana,BWA,147,1063.631368,147
Singapore,SGP,148,1057.950212,148
Lithuania,LTU,149,1056.850321,149
Guyana,GUY,150,1049.320241,150
New Caledonia,NCL,151,1036.952253,151
Saint Kitts and Nevis,KNA,152,1036.334924,152
Solomon Islands,SLB,153,1031.894156,153
Puerto Rico,PRI,154,1024.297312,154
Fiji,FJI,155,1024.172648,155
Hong Kong,HKG,156,1024.164346,156
Tahiti,PYF,157,1019.036032,157
Myanmar,MMR,158,1009.390464,158
Moldova,MDA,159,1008.240035,159
Vanuatu,VUT,160,1002.530511,160
Malta,MLT,161,992.793497,161
Antigua and Barbuda,ATG,162,986.584414,162
Grenada,GRD,163,981.823973,163
Cuba,CUB,164,981.423455,164
Eswatini,SWZ,165,979.013939,165
Saint Lucia,LCA,166,976.708996,166
Bermuda,BMU,167,975.053746,167
Papua New Guinea,PNG,168,974.9011,168
South Sudan,SSD,169,970.944527,169
Saint Vincent and the Grenadines,VCT,170,968.269638,170
Afghanistan,AFG,171,968.073401,171
Andorra,AND,172,946.429826,172
Maldives,MDV,173,943.917901,173
Chinese Taipei,TWN,174,923.782643,174
Cambodia,KHM,175,922.317911,175
Montserrat,MSR,176,916.75251,176
Nepal,NPL,177,914.541224,177
Mauritius,MUS,178,911.487501,178
Barbados,BRB,179,909.893208,179
Belize,BLZ,180,907.001211,180
Bangladesh,BGD,181,902.92965,181
Dominica,DMA,182,897.686437,182
Chad,TCD,183,896.852819,183
Eritrea,ERI,184,887.063341,184
Laos,LAO,185,885.028891,185
Cook Islands,COK,186,877.534995,186
Sri Lanka,LKA,187,876.858829,187
Samoa,WSM,188,876.407812,188
Aruba,ABW,189,875.61115,189
Mongolia,MNG,190,874.469074,190
American Samoa,ASM,191,871.612081,191
Bhutan,BTN,192,870.806447,192
Macau,MAC,193,858.03342,193
Brunei Darussalam,BRN,194,857.733061,194
São Tomé and Príncipe,STP,195,855.438666,195
Djibouti,DJI,196,853.581786,196
Cayman Islands,CYM,197,850.061011,197
Pakistan,PAK,198,840.280827,198
Somalia,SOM,199,839.169697,199
Tonga,TON,200,835.64241,200
East Timor,TLS,201,830.998683,201
Gibraltar,GIB,202,820.260818,202
Guam,GUM,203,819.540575,203
Seychelles,SYC,204,804.161509,204
Turks and Caicos Islands,TCA,205,803.980015,205
Liechtenstein,LIE,206,797.701009,206
Bahamas,BHS,207,786.816217,207
