team,country_code,rank,points,previous_rank,fetched_at,snapshot_date
Spain,ESP,1,1995.881879,2,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Argentina,ARG,2,1970.36539,1,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
France,FRA,3,1948.970817,3,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
England,ENG,4,1922.831632,4,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Brazil,BRA,5,1804.923169,6,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Morocco,MAR,6,1803.987631,7,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Portugal,PRT,7,1787.854725,5,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Belgium,BEL,8,1778.355242,9,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Netherlands,NLD,9,1775.54224,8,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Mexico,MEX,10,1754.296853,14,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Colombia,COL,11,1739.894762,13,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Germany,DEU,12,1726.218839,10,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Croatia,HRV,13,1723.050142,11,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Switzerland,CHE,14,1710.884769,19,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Italy,ITA,15,1704.733836,12,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
USA,USA,16,1690.330436,17,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Japan,JPN,17,1673.67653,18,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Senegal,SEN,18,1653.42859,15,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Norway,NOR,19,1651.286867,31,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Uruguay,URY,20,1634.703834,16,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Denmark,DNK,21,1619.474248,21,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Iran,IRN,22,1609.845145,20,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Austria,AUT,23,1598.822839,24,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
