fixture_id,season,round,date,status_type,home_team,away_team,home_goals,away_goals,group,fifa_home_rank,fifa_home_points,fifa_away_rank,fifa_away_points,fifa_rank_diff,fifa_points_diff,rolling_points_home,rolling_points_away,rolling_gd_home,rolling_gd_away,rest_days_home,rest_days_away,elo_home,elo_away,elo_diff,result
7697205,18/19,2,2018-09-10 18:45:00+00:00,finished,Scotland,Albania,2.0,0.0,"UEFA Nations League, League C, Gr. 1",42.0,1491.223887,67.0,1376.033234,25.0,115.19065300000011,,3.0,,1.0,,3.0,1500.0,1508.1506753883134,-8.150675388313402,H
7697223,18/19,3,2018-10-12 18:45:00+00:00,finished,Austria,Northern Ireland,1.0,0.0,"UEFA Nations League, League B, Gr. 3",23.0,1598.822839,70.0,1365.296485,47.0,233.52635399999986,0.0,0.0,-1.0,-1.0,31.0,34.0,1492.1765211161367,1488.1506753883134,4.025845727823253,H
7697215,18/19,2,2018-09-10 18:45:00+00:00,finished,Malta,Azerbaijan,1.0,1.0,"UEFA Nations League, League D, Gr. 3",161.0,992.793497,126.0,1131.995112,-35.0,-139.20161500000006,0.0,1.0,-2.0,0.0,3.0,3.0,1487.77398691753,1498.1506753883134,-10.376688470783392,D
7697202,18/19,2,2018-09-10 18:45:00+00:00,finished,Sweden,Türkiye,2.0,3.0,"UEFA Nations League, League B, Gr. 2",37.0,1525.578992,27.0,1582.54473,-10.0,-56.9657380000001,,0.0,,-1.0,,3.0,1500.0,1488.1506753883134,11.849324611686598,A
7697179,18/19,1,2018-09-08 18:45:00+00:00,finished,Estonia,Greece,0.0,1.0,"UEFA Nations League, League C, Gr. 2",127.0,1130.63629,46.0,1473.187305,-81.0,-342.551015,,,,,,,1500.0,1500.0,0.0,A
7697196,18/19,1,2018-09-07 18:45:00+00:00,finished,Romania,Montenegro,0.0,0.0,"UEFA Nations League, League C, Gr. 4",52.0,1455.894657,80.0,1301.977191,28.0,153.9174660000001,,,,,,,1500.0,1500.0,0.0,D
7697168,18/19,2,2018-09-09 18:45:00+00:00,finished,France,Netherlands,2.0,1.0,"UEFA Nations League, League A, Gr. 1",3.0,1948.970817,9.0,1775.54224,6.0,173.4285769999999,1.0,,0.0,,3.0,,1501.8493246116866,1500.0,1.8493246116865976,H
7697188,18/19,2,2018-09-09 18:45:00+00:00,finished,Liechtenstein,Gibraltar,2.0,0.0,"UEFA Nations League, League D, Gr. 4",206.0,797.701009,202.0,820.260818,-4.0,-22.559808999999973,0.0,0.0,-1.0,-2.0,3.0,3.0,1491.8493246116866,1482.22601308247,9.623311529216608,H
7697212,18/19,2,2018-09-11 18:45:00+00:00,finished,Moldova,Belarus,0.0,0.0,"UEFA Nations League, League D, Gr. 2",159.0,1008.240035,96.0,1242.876029,-63.0,-234.63599399999998,0.0,3.0,-4.0,5.0,3.0,3.0,1484.7174836469123,1516.3013507766268,-31.583867129714463,D
7697197,18/19,1,2018-09-07 18:45:00+00:00,finished,Lithuania,Serbia,0.0,1.0,"UEFA Nations League, League C, Gr. 4",149.0,1056.850321,40.0,1502.133186,-109.0,-445.28286500000013,,,,,,,1500.0,1500.0,0.0,A
7697175,18/19,1,2018-09-08 13:00:00+00:00,finished,Northern Ireland,Bosnia & Herzegovina,1.0,2.0,"UEFA Nations League, League B, Gr. 3",70.0,1365.296485,61.0,1408.930486,-9.0,-43.6340009999999,,,,,,,1500.0,1500.0,0.0,A
7697199,18/19,2,2018-09-11 18:45:00+00:00,finished,Iceland,Belgium,0.0,3.0,"UEFA Nations League, League A, Gr. 2",74.0,1342.771961,8.0,1778.355242,-66.0,-435.58328100000017,0.0,,-6.0,,3.0,,1482.679814799834,1500.0,-17.32018520016595,A
7697180,18/19,1,2018-09-08 16:00:00+00:00,finished,Finland,Hungary,1.0,0.0,"UEFA Nations League, League C, Gr. 2",75.0,1341.922408,39.0,1506.393663,-36.0,-164.47125500000016,,,,,,,1500.0,1500.0,0.0,H
7697234,18/19,3,2018-10-11 18:45:00+00:00,finished,Israel,Scotland,2.0,1.0,"UEFA Nations League, League C, Gr. 1",76.0,1333.904007,42.0,1491.223887,-34.0,-157.31988,0.0,3.0,-1.0,2.0,34.0,31.0,1491.8493246116866,1512.5672892794655,-20.717964667778915,H
7697216,18/19,3,2018-10-13 18:45:00+00:00,finished,Netherlands,Germany,3.0,0.0,"UEFA Nations League, League A, Gr. 1",9.0,1775.54224,12.0,1726.218839,3.0,49.3234010000001,0.0,1.0,-1.0,0.0,34.0,37.0,1491.900681021774,1498.1506753883134,-6.24999436653934,H
7697172,18/19,2,2018-09-09 13:00:00+00:00,finished,Ukraine,Slovakia,1.0,0.0,"UEFA Nations League, League B, Gr. 1",33.0,1549.287173,45.0,1473.660727,12.0,75.62644599999999,3.0,,1.0,,2.0,,1511.8493246116866,1500.0,11.849324611686598,H
7697191,18/19,1,2018-09-07 18:45:00+00:00,finished,Faroe Islands,Malta,3.0,1.0,"UEFA Nations League, League D, Gr. 3",123.0,1136.585036,161.0,992.793497,38.0,143.79153899999994,,,,,,,1500.0,1500.0,0.0,H
7697187,18/19,2,2018-09-09 16:00:00+00:00,finished,Bulgaria,Norway,1.0,0.0,"UEFA Nations League, League C, Gr. 3",85.0,1271.683325,19.0,1651.286867,-66.0,-379.60354200000006,3.0,3.0,1.0,2.0,2.0,2.0,1511.8493246116866,1512.22601308247,-0.3766884707833924,H
7697214,18/19,3,2018-10-12 18:45:00+00:00,finished,Belgium,Switzerland,2.0,1.0,"UEFA Nations League, League A, Gr. 2",8.0,1778.355242,14.0,1710.884769,6.0,67.47047300000008,3.0,3.0,3.0,6.0,31.0,34.0,1519.8866232407447,1517.320185200166,2.5664380405787597,H
7697169,18/19,1,2018-09-07 18:45:00+00:00,finished,Italy,Poland,1.0,1.0,"UEFA Nations League, League A, Gr. 3",15.0,1704.733836,36.0,1526.183359,21.0,178.550477,,,,,,,1500.0,1500.0,0.0,D
7697190,18/19,1,2018-09-08 16:00:00+00:00,finished,Belarus,San Marino,5.0,0.0,"UEFA Nations League, League D, Gr. 2",96.0,1242.876029,211.0,721.201827,115.0,521.674202,,,,,,,1500.0,1500.0,0.0,H
7697189,18/19,1,2018-09-08 18:45:00+00:00,finished,Luxembourg,Moldova,4.0,0.0,"UEFA Nations League, League D, Gr. 2",98.0,1232.81815,159.0,1008.240035,61.0,224.57811500000003,,,,,,,1500.0,1500.0,0.0,H
7697181,18/19,1,2018-09-06 18:45:00+00:00,finished,Norway,Cyprus,2.0,0.0,"UEFA Nations League, League C, Gr. 3",19.0,1651.286867,124.0,1133.247165,105.0,518.039702,,,,,,,1500.0,1500.0,0.0,H
7697166,18/19,1,2018-09-06 18:45:00+00:00,finished,Germany,France,0.0,0.0,"UEFA Nations League, League A, Gr. 1",12.0,1726.218839,3.0,1948.970817,-9.0,-222.751978,,,,,,,1500.0,1500.0,0.0,D
7697176,18/19,1,2018-09-06 18:45:00+00:00,finished,Wales,Ireland,4.0,1.0,"UEFA Nations League, League B, Gr. 4",38.0,1516.946629,55.0,1441.096901,17.0,75.84972800000014,,,,,,,1500.0,1500.0,0.0,H
7697233,18/19,3,2018-10-12 18:45:00+00:00,finished,Estonia,Finland,0.0,1.0,"UEFA Nations League, League C, Gr. 2",127.0,1130.63629,75.0,1341.922408,-52.0,-211.286118,0.0,3.0,-1.0,1.0,31.0,31.0,1480.549502569204,1515.7518482074229,-35.20234563821896,A
7697207,18/19,2,2018-09-10 18:45:00+00:00,finished,Montenegro,Lithuania,2.0,0.0,"UEFA Nations League, League C, Gr. 4",80.0,1301.977191,149.0,1056.850321,69.0,245.12687000000005,1.0,0.0,0.0,-1.0,3.0,3.0,1501.8493246116866,1488.1506753883134,13.698649223373195,H
7697167,18/19,1,2018-09-08 16:00:00+00:00,finished,Switzerland,Iceland,6.0,0.0,"UEFA Nations League, League A, Gr. 2",14.0,1710.884769,74.0,1342.771961,60.0,368.1128080000001,,,,,,,1500.0,1500.0,0.0,H
7697182,18/19,1,2018-09-06 18:45:00+00:00,finished,Slovenia,Bulgaria,1.0,2.0,"UEFA Nations League, League C, Gr. 3",56.0,1441.087158,85.0,1271.683325,29.0,169.40383300000008,,,,,,,1500.0,1500.0,0.0,A
7697201,18/19,2,2018-09-11 18:45:00+00:00,finished,Spain,Croatia,6.0,0.0,"UEFA Nations League, League A, Gr. 4",1.0,1995.881879,13.0,1723.050142,12.0,272.831737,3.0,,1.0,,3.0,,1511.8493246116866,1500.0,11.849324611686598,H
7697208,18/19,2,2018-09-11 18:45:00+00:00,finished,San Marino,Luxembourg,0.0,3.0,"UEFA Nations League, League D, Gr. 2",211.0,721.201827,98.0,1232.81815,-113.0,-511.6163230000001,0.0,3.0,-5.0,4.0,3.0,3.0,1483.6986492233732,1515.2825163530877,-31.583867129714463,A
7697193,18/19,1,2018-09-06 14:00:00+00:00,finished,Kazakhstan,Georgia,0.0,2.0,"UEFA Nations League, League D, Gr. 1",111.0,1180.780449,72.0,1355.261687,-39.0,-174.48123799999985,,,,,,,1500.0,1500.0,0.0,A
7697200,18/19,2,2018-09-10 18:45:00+00:00,finished,Portugal,Italy,1.0,0.0,"UEFA Nations League, League A, Gr. 3",7.0,1787.854725,15.0,1704.733836,8.0,83.1208889999998,,1.0,,0.0,,3.0,1500.0,1498.1506753883134,1.8493246116865976,H
7697186,18/19,2,2018-09-09 18:45:00+00:00,finished,Cyprus,Slovenia,2.0,1.0,"UEFA Nations League, League C, Gr. 3",124.0,1133.247165,56.0,1441.087158,-68.0,-307.83999300000005,0.0,0.0,-2.0,-1.0,3.0,3.0,1487.77398691753,1488.1506753883134,-0.3766884707833924,H
7697184,18/19,1,2018-09-06 16:00:00+00:00,finished,Armenia,Liechtenstein,2.0,1.0,"UEFA Nations League, League D, Gr. 4",107.0,1189.632762,206.0,797.701009,99.0,391.93175299999996,,,,,,,1500.0,1500.0,0.0,H
7697206,18/19,2,2018-09-10 18:45:00+00:00,finished,Serbia,Romania,2.0,2.0,"UEFA Nations League, League C, Gr. 4",40.0,1502.133186,52.0,1455.894657,12.0,46.23852899999997,3.0,1.0,1.0,0.0,3.0,3.0,1511.8493246116866,1498.1506753883134,13.698649223373195,D
7697222,18/19,3,2018-10-11 19:45:00+00:00,finished,Russia,Sweden,0.0,0.0,"UEFA Nations League, League B, Gr. 2",35.0,1529.602834,37.0,1525.578992,2.0,4.023842000000059,3.0,0.0,1.0,-1.0,34.0,31.0,1511.8493246116866,1487.8234788838633,24.025845727823253,D
