fixture_id,season,round,date,status_type,home_team,away_team,home_goals,away_goals,group
7697193,18/19,1,2018-09-06 14:00:00+00:00,finished,Kazakhstan,Georgia,0.0,2.0,"UEFA Nations League, League D, Gr. 1"
7697184,18/19,1,2018-09-06 16:00:00+00:00,finished,Armenia,Liechtenstein,2.0,1.0,"UEFA Nations League, League D, Gr. 4"
7697195,18/19,1,2018-09-06 18:45:00+00:00,finished,Latvia,Andorra,0.0,0.0,"UEFA Nations League, League D, Gr. 1"
7697183,18/19,1,2018-09-06 18:45:00+00:00,finished,Gibraltar,North Macedonia,0.0,2.0,"UEFA Nations League, League D, Gr. 4"
7697181,18/19,1,2018-09-06 18:45:00+00:00,finished,Norway,Cyprus,2.0,0.0,"UEFA Nations League, League C, Gr. 3"
7697182,18/19,1,2018-09-06 18:45:00+00:00,finished,Slovenia,Bulgaria,1.0,2.0,"UEFA Nations League, League C, Gr. 3"
7697173,18/19,1,2018-09-06 18:45:00+00:00,finished,Czechia,Ukraine,1.0,2.0,"UEFA Nations League, League B, Gr. 1"
7697176,18/19,1,2018-09-06 18:45:00+00:00,finished,Wales,Ireland,4.0,1.0,"UEFA Nations League, League B, Gr. 4"
7697166,18/19,1,2018-09-06 18:45:00+00:00,finished,Germany,France,0.0,0.0,"UEFA Nations League, League A, Gr. 1"
7697192,18/19,1,2018-09-07 16:00:00+00:00,finished,Azerbaijan,Kosovo,0.0,0.0,"UEFA Nations League, League D, Gr. 3"
7697169,18/19,1,2018-09-07 18:45:00+00:00,finished,Italy,Poland,1.0,1.0,"UEFA Nations League, League A, Gr. 3"
7697174,18/19,1,2018-09-07 18:45:00+00:00,finished,Türkiye,Russia,1.0,2.0,"UEFA Nations League, League B, Gr. 2"
7697177,18/19,1,2018-09-07 18:45:00+00:00,finished,Albania,Israel,1.0,0.0,"UEFA Nations League, League C, Gr. 1"
7697197,18/19,1,2018-09-07 18:45:00+00:00,finished,Lithuania,Serbia,0.0,1.0,"UEFA Nations League, League C, Gr. 4"
7697196,18/19,1,2018-09-07 18:45:00+00:00,finished,Romania,Montenegro,0.0,0.0,"UEFA Nations League, League C, Gr. 4"
7697191,18/19,1,2018-09-07 18:45:00+00:00,finished,Faroe Islands,Malta,3.0,1.0,"UEFA Nations League, League D, Gr. 3"
7697175,18/19,1,2018-09-08 13:00:00+00:00,finished,Northern Ireland,Bosnia & Herzegovina,1.0,2.0,"UEFA Nations League, League B, Gr. 3"
7697167,18/19,1,2018-09-08 16:00:00+00:00,finished,Switzerland,Iceland,6.0,0.0,"UEFA Nations League, League A, Gr. 2"
7697180,18/19,1,2018-09-08 16:00:00+00:00,finished,Finland,Hungary,1.0,0.0,"UEFA Nations League, League C, Gr. 2"
7697190,18/19,1,2018-09-08 16:00:00+00:00,finished,Belarus,San Marino,5.0,0.0,"UEFA Nations League, League D, Gr. 2"
